category,city,customer_id,order_date,order_id,price,product_name,quantity,status,total_amount,year,month,day
Clothing,HCM,CUST0483,2024-05-11,ORD009375,617.81,Product_19,3,pending,1853.4299999999998,2024,5,11
Toys,Danang,CUST0214,2024-06-17,ORD009376,601.88,Product_66,2,pending,1203.76,2024,6,17
Clothing,Haiphong,CUST0855,2024-07-03,ORD009377,801.38,Product_79,8,completed,6411.04,2024,7,3
Food,Haiphong,CUST0652,2024-03-01,ORD009378,232.26,Product_64,4,completed,929.04,2024,3,1
Electronics,Hanoi,CUST0500,2024-10-15,ORD009379,644.03,Product_74,7,cancelled,4508.21,2024,10,15
Books,Haiphong,CUST0065,2024-01-08,ORD009380,577.59,Product_14,5,cancelled,2887.9500000000003,2024,1,8
Clothing,Danang,CUST0880,2024-01-06,ORD009381,532.0,Product_59,10,pending,5320.0,2024,1,6
Toys,Hanoi,CUST0456,2024-04-19,ORD009382,648.28,Product_34,1,cancelled,648.28,2024,4,19
Books,HCM,CUST0977,2024-01-11,ORD009383,237.87,Product_58,1,cancelled,237.87,2024,1,11
Clothing,Hanoi,CUST0692,2024-11-18,ORD009384,105.46,Product_34,9,cancelled,949.14,2024,11,18
Clothing,Danang,CUST0676,2024-10-26,ORD009385,36.31,Product_74,9,completed,326.79,2024,10,26
Books,Danang,CUST0999,2024-03-18,ORD009386,457.47,Product_48,4,pending,1829.88,2024,3,18
Clothing,Cantho,CUST0854,2024-04-16,ORD009387,840.42,Product_50,5,completed,4202.099999999999,2024,4,16
Toys,Haiphong,CUST0055,2024-10-04,ORD009388,648.42,Product_80,3,pending,1945.2599999999998,2024,10,4
Clothing,Haiphong,CUST0503,2024-05-19,ORD009389,582.15,Product_5,9,cancelled,5239.349999999999,2024,5,19
Toys,Danang,CUST0791,2024-03-21,ORD009390,706.72,Product_29,8,completed,5653.76,2024,3,21
Clothing,Danang,CUST0110,2024-06-29,ORD009391,173.42,Product_99,1,pending,173.42,2024,6,29
Electronics,Hanoi,CUST0254,2024-01-23,ORD009392,85.99,Product_52,6,pending,515.9399999999999,2024,1,23
Toys,Cantho,CUST0428,2024-09-26,ORD009393,648.11,Product_81,8,pending,5184.88,2024,9,26
Food,Danang,CUST0561,2024-05-05,ORD009394,185.24,Product_29,3,pending,555.72,2024,5,5
Electronics,HCM,CUST0220,2024-11-15,ORD009395,205.38,Product_38,9,completed,1848.42,2024,11,15
Clothing,Haiphong,CUST0762,2024-01-31,ORD009396,178.49,Product_31,4,pending,713.96,2024,1,31
Electronics,Danang,CUST0991,2024-09-26,ORD009397,369.7,Product_75,6,cancelled,2218.2,2024,9,26
Electronics,Hanoi,CUST0392,2024-01-22,ORD009398,630.52,Product_29,6,pending,3783.12,2024,1,22
Electronics,Danang,CUST0671,2024-11-05,ORD009399,309.02,Product_19,8,completed,2472.16,2024,11,5
Books,Cantho,CUST0123,2024-06-03,ORD009400,651.36,Product_43,2,completed,1302.72,2024,6,3
Food,Hanoi,CUST0364,2024-07-07,ORD009401,292.39,Product_62,1,cancelled,292.39,2024,7,7
Toys,Haiphong,CUST0191,2024-09-22,ORD009402,151.53,Product_92,7,cancelled,1060.71,2024,9,22
Food,Hanoi,CUST0494,2024-03-10,ORD009403,854.84,Product_88,9,cancelled,7693.56,2024,3,10
Electronics,Hanoi,CUST0405,2024-09-12,ORD009404,939.35,Product_42,5,completed,4696.75,2024,9,12
Toys,Haiphong,CUST0797,2024-11-22,ORD009405,44.89,Product_7,3,pending,134.67000000000002,2024,11,22
Food,Haiphong,CUST0881,2024-06-09,ORD009406,458.95,Product_3,10,cancelled,4589.5,2024,6,9
Electronics,HCM,CUST0441,2024-11-12,ORD009407,304.44,Product_29,2,pending,608.88,2024,11,12
Clothing,HCM,CUST0929,2024-05-01,ORD009408,723.91,Product_31,2,pending,1447.82,2024,5,1
Food,Cantho,CUST0554,2024-04-26,ORD009409,250.41,Product_89,2,completed,500.82,2024,4,26
Clothing,HCM,CUST0471,2024-06-27,ORD009410,757.18,Product_65,10,cancelled,7571.799999999999,2024,6,27
Food,Cantho,CUST0794,2024-07-28,ORD009411,902.23,Product_21,2,completed,1804.46,2024,7,28
Books,Haiphong,CUST0768,2024-01-31,ORD009412,959.22,Product_72,9,completed,8632.98,2024,1,31
Clothing,HCM,CUST0922,2024-09-12,ORD009413,127.66,Product_20,5,cancelled,638.3,2024,9,12
Toys,Hanoi,CUST0408,2024-09-30,ORD009414,985.53,Product_7,7,pending,6898.71,2024,9,30
Books,Haiphong,CUST0825,2024-07-14,ORD009415,519.34,Product_4,4,pending,2077.36,2024,7,14
Clothing,Haiphong,CUST0761,2024-07-21,ORD009416,417.7,Product_7,9,cancelled,3759.2999999999997,2024,7,21
Books,HCM,CUST0983,2024-03-09,ORD009417,627.25,Product_55,2,completed,1254.5,2024,3,9
Toys,HCM,CUST0844,2024-05-13,ORD009418,440.24,Product_28,3,completed,1320.72,2024,5,13
Food,Cantho,CUST0722,2024-10-22,ORD009419,814.76,Product_14,5,cancelled,4073.8,2024,10,22
Books,Danang,CUST0738,2024-11-02,ORD009420,481.04,Product_42,1,completed,481.04,2024,11,2
Clothing,Cantho,CUST0568,2024-10-05,ORD009421,370.9,Product_63,1,pending,370.9,2024,10,5
Electronics,Hanoi,CUST0208,2024-11-25,ORD009422,52.68,Product_84,5,cancelled,263.4,2024,11,25
Books,Cantho,CUST0548,2024-11-24,ORD009423,920.69,Product_6,2,cancelled,1841.38,2024,11,24
Clothing,Hanoi,CUST0113,2024-11-24,ORD009424,107.6,Product_34,5,pending,538.0,2024,11,24
Toys,HCM,CUST0495,2024-11-12,ORD009425,549.48,Product_28,10,pending,5494.8,2024,11,12
Electronics,HCM,CUST0619,2024-04-18,ORD009426,61.9,Product_20,7,pending,433.3,2024,4,18
Food,HCM,CUST0032,2024-05-02,ORD009427,956.8,Product_74,5,completed,4784.0,2024,5,2
Books,Haiphong,CUST0354,2024-05-17,ORD009428,75.52,Product_23,5,cancelled,377.59999999999997,2024,5,17
Books,Haiphong,CUST0039,2024-04-26,ORD009429,462.04,Product_87,9,cancelled,4158.360000000001,2024,4,26
Books,Cantho,CUST0260,2024-11-29,ORD009430,730.66,Product_49,8,cancelled,5845.28,2024,11,29
Books,Cantho,CUST0822,2024-07-24,ORD009431,813.42,Product_92,7,cancelled,5693.94,2024,7,24
Toys,Danang,CUST0056,2024-03-17,ORD009432,115.83,Product_56,4,pending,463.32,2024,3,17
Food,Danang,CUST0676,2024-03-31,ORD009433,52.46,Product_72,8,cancelled,419.68,2024,3,31
Books,Haiphong,CUST0659,2024-06-22,ORD009434,508.43,Product_65,8,cancelled,4067.44,2024,6,22
Clothing,Cantho,CUST0527,2024-01-23,ORD009435,809.43,Product_55,3,cancelled,2428.29,2024,1,23
Books,HCM,CUST0120,2024-07-06,ORD009436,683.67,Product_65,4,cancelled,2734.68,2024,7,6
Electronics,Hanoi,CUST0436,2024-11-24,ORD009437,156.2,Product_42,6,cancelled,937.1999999999999,2024,11,24
Books,Hanoi,CUST0203,2024-09-11,ORD009438,155.57,Product_30,10,cancelled,1555.6999999999998,2024,9,11
Food,Hanoi,CUST0148,2024-04-28,ORD009439,995.56,Product_52,6,pending,5973.36,2024,4,28
Books,Haiphong,CUST0208,2024-09-03,ORD009440,842.84,Product_27,7,pending,5899.88,2024,9,3
Food,Hanoi,CUST0229,2024-01-07,ORD009441,52.53,Product_40,3,pending,157.59,2024,1,7
Books,HCM,CUST0826,2024-04-14,ORD009442,873.83,Product_36,1,cancelled,873.83,2024,4,14
Books,Danang,CUST0158,2024-02-27,ORD009443,975.98,Product_38,3,cancelled,2927.94,2024,2,27
Toys,Haiphong,CUST0635,2024-04-05,ORD009444,890.02,Product_27,1,pending,890.02,2024,4,5
Food,Hanoi,CUST0036,2024-06-28,ORD009445,486.52,Product_25,5,completed,2432.6,2024,6,28
Electronics,Cantho,CUST0751,2024-03-20,ORD009446,554.13,Product_88,2,completed,1108.26,2024,3,20
Clothing,Danang,CUST0822,2024-11-30,ORD009447,336.64,Product_88,8,pending,2693.12,2024,11,30
Food,Danang,CUST0146,2024-01-17,ORD009448,110.51,Product_14,4,completed,442.04,2024,1,17
Electronics,HCM,CUST0816,2024-03-25,ORD009449,955.86,Product_32,10,completed,9558.6,2024,3,25
Food,Haiphong,CUST0053,2024-09-04,ORD009450,507.15,Product_31,6,pending,3042.8999999999996,2024,9,4
